ID,Epic,Task,Description,Dependency,Priority,Suggested Owner,Acceptance Criteria,Estimated Complexity,Status,Source or Decision Reference
M1-313,Retrieval,Deep-freeze the research packet,"ResearchPacket is a frozen dataclass holding tuples of pydantic models, so its digest is stable against rebinding its fields but not against mutating a caller-retained run, document, query list or provider-config dict after build_packet returns. No current product path mutates a packet after construction, so this is a hardening item rather than a live defect.",M1-306,Low,Claude Code,"After build_packet returns, mutation of caller-owned runs, documents, lists or provider-config dictionaries cannot change the packet's digest; a property test asserts the digest is unchanged after mutating each mutable input.",S,Done,PR #26 round-1 cross-model review
M1-314,Research Retrieval,Refuse an unusable artifact path as the module's own error,"research/artifacts.py::read_raw_responses catches OSError around path.read_bytes(), but a lone surrogate in the relative path raises UnicodeEncodeError (a ValueError) out of open() before any I/O, so a raw exception escapes a public boundary -- the class of defect this project has taken as a review finding twice. Found by M1-406's property suite against its own sibling reader (forecast/artifacts.py), where it was closed on that branch; the same hole in the merged retrieval reader is pre-existing and is filed rather than fixed cross-item. Reachable without a hostile operator: research_runs.raw_response_path is a TEXT column whose shape nothing constrains, and read_raw_responses is a public entry point taking a caller-supplied string. The message must not render the path, because interpolating it is itself the failing operation.",M1-306,Low,Claude Code,"read_raw_responses raises ArtifactError, not UnicodeEncodeError, for a relative_path carrying a lone surrogate; the message names no path; a property asserts that only ArtifactError escapes the reader on arbitrary input, and fails against the pre-fix code.",S,Done,M1-406 property suite
M1-401,Forecast Generation,Version and hash the prompt,"Load prompts/forecaster.md, verify declared version and compute a content hash.",M0-005,Critical,Claude Code,Every forecast stores prompt version/hash; changed bytes produce a new hash.,S,Done,D4; prompts/forecaster.md
M1-402,Forecast Generation,Implement structured model call,Call one configured GeneralLlm model with a question-specific Pydantic response type.,M1-401; M1-306,Critical,Claude Code,Valid response returns typed output; malformed output gets at most one bounded repair attempt.,M,Done,https://github.com/Metaculus/forecasting-tools
M1-403,Forecast Generation,Implement binary output path,Produce probability_yes plus attribution fields.,M1-402,Critical,Claude Code,"Golden output validates within configured bounds and includes base rate, adjustments and failure modes.",S,Done,prompts/forecaster.md
M1-404,Forecast Generation,Implement multiple-choice output path,Produce every exact option once with probabilities summing to one.,M1-402,High,Claude Code,Unknown/missing/duplicate options fail validation; tolerance is 1e-6.,S,Done,prompts/forecaster.md
M1-405,Forecast Generation,Implement numeric percentile path,Produce the nine declared percentiles for conversion by forecasting-tools.,M1-402,Critical,Claude Code,"Percentile levels are exact; values are finite, ordered and compatible with question bounds.",M,Done,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/data_models/numeric_report.py | prompts/forecaster.md
M1-406,Forecast Generation,Persist raw output and replay,"Store provider response, parsed result, model settings and cost separately from canonical rationale.",M1-402; M1-601,High,Claude Code,Model replay makes zero API calls and reproduces the parsed forecast hash.,M,Done,D12; D24
M1-407,Forecast Generation,Cross-check the configured probability bounds against the prompt,"forecast.min_probability and forecast.max_probability are enforced against model output by M1-403, while prompts/forecaster.md prints 0.001-0.999 to the model as a literal. Nothing compares the two, so narrowing the config silently asks for a probability the prompt never permits and pays for a repair turn to discover it. M1-403 made the divergence observable rather than creating it, so it is a row and not a fix on that branch.",M1-401; M1-403,Medium,Claude Code,"A config whose probability bounds fall outside the range the loaded prompt declares is reported at startup and by verify-env, before any billable call; the check reads the prompt that config actually names rather than a copy of its numbers.",S,Not Started,M1-403; prompts/forecaster.md
M1-501,Validation and Calibration,Validate common attribution fields,"Require prior/base rate, status quo, evidence links, load-bearing facts, failure modes and final output.",M1-403,Critical,Claude Code,Schema rejects missing or unknown required fields and invalid source IDs.,M,Done,D4; D24
M1-502,Validation and Calibration,Validate categorical forecasts,Apply binary bounds and exact multiple-choice normalization.,M1-403; M1-404,Critical,Claude Code,Boundary and sum tests pass; no arbitrary post-hoc renormalization is hidden.,S,Done,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py
M1-503,Validation and Calibration,Build and validate numeric CDF,Use NumericDistribution.from_question and get_cdf to produce the submission array.,M1-405,Critical,Claude Code,Exactly 201 monotone values for normal numeric questions; maintained PMF constraint passes.,M,Done,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/data_models/numeric_report.py
M1-504,Validation and Calibration,Add stale/insufficient research gate,Flag or fail according to config before approval.,M1-305; M1-501,High,Claude Code,No-sources and stale-only fixtures produce explicit states and never pass silently.,S,Not Started,config.example.yaml
M1-505,Validation and Calibration,Enforce the prompt's evidence caps against document provenance,"prompts/forecaster.md caps what a document may justify by its reliability_tag and provenance: an unverified_social document ""may justify a tiny or small adjustment at most, never a load-bearing fact"", and an llm_reported one is capped at small unless the cited account is official_primary or a direct_api document corroborates it. The response schema carries direction, magnitude and load_bearing, and M1-501 resolves every citation to a supplied source_id -- but a source_id is only an identity, so nothing compares a claimed magnitude against the reliability of the document it cites. A forecast can still rest a load-bearing fact on a single unverified social post and be recorded as valid. Enforcing the caps needs the documents themselves (ForecastDocumentInput.reliability_tag/provenance), not just their ids, which is a wider input than M1-501's checker takes and a rule the prompt states rather than one this project would be inventing. Raised while implementing M1-501.",M1-501; M1-306,Medium,Claude Code,"An evidence adjustment or load-bearing fact whose citations are all documents the prompt caps below the claimed magnitude is refused as a repairable sanitized problem before the forecast is recorded; a corroborating direct_api citation lifts the llm_reported cap exactly as the prompt states, and no message echoes document content.",M,Not Started,prompts/forecaster.md; M1-501
M1-506,Validation and Calibration,Expose one composed output-validation entry point,"The output checks a valid forecast must pass are split across modules on purpose -- attribution.attribution_problems (cross-type, M1-501), binary.binary_output_problems (M1-403), and the option-set and percentile-level checks M1-404 and M1-405 will add. generate._output_problems composes them, but it is private to the call path, so a caller that is NOT generating -- M1-406 replaying a stored response, M1-602 validating a record before it is persisted -- has to know the full list and call each one. Nothing tells it when that list grows. M1-501's round-1 cross-model review reported a missing binary-prior check against attribution.py for exactly this reason: reading one checker in isolation, the rule looks absent. The rule was present in binary.py and the composed path refuses the response (reproduced by execution, rebutted in round 2), but a seam that misleads a careful reader is a seam a caller will get wrong.",M1-501; M1-403,Medium,Claude Code,"One public entry point returns every output problem for a response of any supported question type, composing the cross-type and type-specific checkers; generate._output_problems is defined in terms of it rather than beside it, so the two cannot diverge; a test fails if a supported question type has a checker the entry point does not reach.",S,Done,M1-501 round-1 cross-model review
M1-507,Validation and Calibration,Run the composed output validation on the persist path,"forecast/store.py never imports ForecastConfig and never calls the composed output-validation entry point: _require_attributable runs attribution.validate_attribution_fields alone, so append_forecast_version validates the cross-type attribution rules but not the type-specific ones. A record whose probability falls outside the configured forecast.min_probability/max_probability can therefore be persisted, and since M1-405 so can a numeric record whose percentiles are not the declared nine, are out of order, or fall outside the question's bounds -- even though the generating path refuses both. The two entry points disagree about what a valid forecast is. Not reachable from the product path today: forecast.generate runs the full composed check inside its attempt loop before anything reaches the writer, so every record stored by persist_generation was already checked. It is reachable by any other caller of the public writer, and the gap widens again when M1-404 adds the option-set checker. M1-405 shrank what closing it costs: validate.output_problems now takes a CanonicalQuestion rather than a bare question_id, and ForecastRecordDraft.question already carries one validated to agree with the row, so only ForecastConfig still has to be threaded. That is still a signature change to a merged and reviewed public entry point, which is why M1-506 filed this rather than fixing it -- same convention as M1-314, M2-709 and M1-608.",M1-506,Medium,Claude Code,"append_forecast_version runs the same composed output-validation entry point forecast.generate runs, so the accepted response sets of the two paths are equal; a test drives one out-of-bounds probability and one malformed percentile set through both and asserts both refuse them; the refusal stays a ForecastRecordError naming no stored value.",S,Not Started,M1-506 deferral; M1-405 signature change
M1-601,Attribution Ledger,Create initial SQLite migration,"Create append-only forecast, research, document, approval, submission, resolution and score tables.",M0-001,Critical,Claude Code,Fresh migration succeeds with WAL/foreign keys; unique version/idempotency constraints exist.,M,Done,D16; CODEX_HANDOFF Ledger design
M1-602,Attribution Ledger,Persist immutable forecast versions,Append one record per forecast version with parent linkage and canonical JSON.,M1-601; M1-501,Critical,Claude Code,Updating a question appends v2; v1 remains byte-identical.,M,Done,D25
M1-603,Attribution Ledger,Record lifecycle events atomically,"Persist validation, approval, submission and failure events in transactions.",M1-601,Critical,Claude Code,Injected failures cannot leave an approved/submitted state without its event record.,M,Done,D25
M1-604,Attribution Ledger,Export JSONL and Parquet,Create analysis-friendly derived exports for audit and polygraph use.,M1-602,Medium,Claude Code,Exports round-trip record IDs/counts and never mutate SQLite.,M,Not Started,D29
M1-605,Attribution Ledger,Add secret and trace redaction,Exclude credentials and hidden chain-of-thought from persisted records/logs.,M1-601,Critical,Codex,"Fixture secrets do not appear in database, exports or logs; rationale remains concise/auditable.",S,Not Started,D24
M1-606,Attribution Ledger,Record pre-forecast pipeline failures,"Give research and generation failures an attempt-scoped ledger identity: they occur before any forecast_records row exists, so migration 003's forecast-scoped lifecycle_events cannot hold them. Needs migration 004.",M1-603,High,Claude Code,A research or generation failure with no forecast record still produces a queryable ledger event; the failed attempt is linked to the forecast version that later succeeds for the same question.,M,Done,D25; CODEX_HANDOFF pipeline and failure boundaries
M1-607,Attribution Ledger,Apply the non-blank identifier guard to the pre-004 identifier columns,"Migration 004 and lifecycle._require_identifier refuse a blank or blob attempt_id on both ends of the attempt->forecast join. The identifier columns that shipped before it -- forecast_records.record_id, submission_attempts.attempt_id and idempotency_key, research_runs.retrieval_run_id -- have no such guard: _require_text refuses '' but '\n\t' is truthy and reaches storage, and one-argument trim() in 001/003 strips U+0020 alone. Pre-existing, so M1-606 scoped its fix to its own writer rather than widening a shared validator under already-reviewed code.",M1-606,Medium,Claude Code,"A whitespace-only or blob identifier is refused at every writer and every trigger that takes one, with the same 29-codepoint whitespace set 003 pinned; a test asserts the writer and trigger definitions agree over every codepoint Python calls whitespace.",S,Done,D25; M1-606 M1-NOTES deviation; M1-603 round 5
M1-608,Attribution Ledger,Pin the shared identifier bound between lifecycle and approval,"approval._MAX_IDENTIFIER restates lifecycle._MAX_IDENTIFIER (both 200) with no pinned relationship. approval.py deliberately does not import lifecycle's private validators -- they raise the wrong error type -- so the bound was respelled, and a future change to either constant would silently let the two entry points accept different record_id sets. Behaviour agrees at this revision, so this is a hardening item rather than a live defect.",M2-701,Low,Claude Code,Approval and lifecycle entry points derive the record_id length limit from one public contract; a test asserts the two accepted input sets cannot diverge if that limit changes.,S,Done,M2-701 round-1 cross-model review
M1-610,Attribution Ledger,Give the record schema the identifier shape rule every other layer applies,"forecast/record.py's identifier fields (record_id, tournament_id, attempt_id, retrieval_run_id) carry Field(min_length=1, max_length=MAX_IDENTIFIER_LENGTH) and nothing else. Every other layer that touches those columns -- lifecycle, approval, submission, submission_gateway, submission_live, and 006/007/008's triggers -- also refuses a whitespace-only value and one bearing a NUL, because min_length=1 admits '\n\t' and a blank identity is an unjoinable row on an append-only table. M1-608 pinned the length to bounds.MAX_IDENTIFIER_LENGTH across all six modules and found this while doing it, but closing it would change what a merged, reviewed pydantic model accepts -- the behaviour-change-to-merged-code M1-606 refused to smuggle in under a different item, and the same convention M1-507, M1-314 and M2-709 were filed under. Not reachable from the product path today: forecast/store.py's writer goes through lifecycle's validators before any row is inserted, and 006 refuses the value at the schema regardless, so what a caller building a record by hand gets today is a constraint failure rather than a field-level message.",M1-608,Low,Claude Code,"ForecastRecord and ForecastRecordDraft refuse a whitespace-only or NUL-bearing identifier with a ForecastRecordError naming the field and no stored value; a test drives the model and 006's triggers over the same candidate set and asserts the accepted sets are equal, in the shape tests/unit/test_shared_bounds.py already uses for the length bound.",S,In Review,M1-608 deferral
M2-701,Submission,Implement approval commands,Approve or reject the exact forecast hash as append-only events.,M1-603,Critical,Claude Code,Changed forecast invalidates prior approval; actor/timestamp/note are retained.,M,Done,D12; D23
M2-702,Submission,Generate idempotency keys,"Derive keys from tournament, question, forecast version and payload hash.",M1-602,Critical,Claude Code,Same payload/key cannot create two attempts; changed payload requires a new approval/key.,S,Done,D23
M2-703,Submission,Implement dry-run gateway,Return a deterministic receipt without any Metaculus write.,M2-702,Critical,Claude Code,Dry run records payload/hash and makes zero HTTP post calls.,S,Done,CODEX_HANDOFF Submission seam
M2-704,Submission,Implement package-backed gateway,"Call public post methods after approval, capture exceptions and verify by refetch.",M2-701; M2-702,Critical,Claude Code,Success requires refetch confirmation; uncertain timeout blocks blind retry.,L,Done,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py; D23; D28
M2-705,Submission,Spike exact response capture,Decide whether refetch receipt is sufficient or add a contract-tested narrow HTTP adapter.,M2-704,High,Codex,Decision and test evidence recorded; no private package method dependency without a guard.,M,Not Started,R-004; D28
M2-706,Submission,Run bot-testing-area smoke test,Submit one explicit owner-approved test forecast and persist receipt/refetch.,M2-704,Critical,Chris + Codex,"Forecast appears on bot profile; ledger has approval, payload, attempt and verification snapshot.",M,Blocked,Requires METACULUS_TOKEN
M2-707,Submission,Bind an approval to the submission payload it authorized,"An approval binds to forecast_sha256, so one approved forecast covers every payload built from it: a payload that changed without the forecast changing gets a new idempotency key (M2-702) while keeping its old approval in force. M2-702 ships the half it can -- submission_key_for_approved_record refuses a record with no approval -- but cannot check that a payload IS the one the approval meant, because the forecast->payload mapping does not exist until M1-502/M1-503. Raised by M2-702 round-1 cross-model review; reading recorded as D33.",M2-702; M1-502; M1-503,High,Claude Code,A submission payload that does not derive from the approved forecast is refused before any post; the binding is append-only and an operator can see what a decision authorized.,M,Not Started,D33; M2-702 round-1 cross-model review
M2-708,Submission,Reserve an idempotency key atomically before any post,"submission.require_key_unused() is a read and says so: two concurrent commands can both see one key as unused, and 001's UNIQUE constraint only refuses the second row AFTER its post has been made. Nothing is reachable today -- no gateway exists -- but the post-call insert cannot by itself prevent a duplicate live post. Raised as a backlog candidate by M2-702 round-1 cross-model review.",M2-702; M2-704,Medium,Claude Code,"Two concurrent commands for the same derived key durably select one poster before any network I/O; the loser posts nothing, and every completed call remains recordable.",M,Done,M2-702 round-1 cross-model review; D23
M2-709,Submission,Share one atomic never-overwrite artifact writer,"research/artifacts._write_new_file and submission_gateway._write_or_confirm are the same mkstemp+fsync+os.link mechanism written twice, because the first is private to its module and raises ArtifactError. The duplication is deliberate for M2-703 -- extracting a shared helper changes a merged, reviewed module and belongs to its own item -- but a second copy of a race-sensitive write is exactly the kind of code that drifts. The two differ on purpose in one place (a dry-run destination whose bytes match is a no-op; a retrieval artifact is always a collision), so the shared helper has to take that as a parameter rather than pick one behaviour.",M2-703,Low,Claude Code,One atomic create-or-fail helper is used by both artifact writers; each keeps its own error type; a test drives the EEXIST path of both through the shared code.,S,Not Started,M2-703
M2-710,Submission,Refuse an identifier the ledger cannot store when deriving a key,"submission._require_text accepts a whitespace-only or NUL-bearing tournament_id, and 006_non_blank_identifiers.sql refuses one -- so submission_key() will mint a key for a tournament no forecast_records row can hold. Not reachable from a product path today: config.py's TournamentConfig already refuses a blank slug, and submission_key_for_record reads the value back out of a row 006 has already vetted. It surfaced as a flaky property test (test_a_key_survives_the_store_and_load_round_trip stores what it draws, and the dev profile is randomized), whose strategy was narrowed on the M2-703 branch so the gate is deterministic. Same class as M1-608: two spellings of one bound, agreeing at this revision by coincidence rather than by construction.",M1-607; M2-702,Low,Claude Code,submission.py's identifier validator refuses exactly what 006's triggers refuse; a test drives both layers over the same inputs and asserts the accepted sets are equal; the narrowed property strategy is restored.,S,Done,M2-703 gate run; M1-607; M1-608
M2-711,Attribution Ledger,Record a submission whose outcome is unknown,"lifecycle.record_submission_attempt derives its event from (success, verified_by_refetch), and that pair has no member meaning ""the post raised AND the refetch could not be performed"". (False, False) is submission_failed, which is terminal and claims the post did not go through -- more than is known. M2-704 makes the cell rare by retrying the refetch and says so in the row's error_message, and terminal failed is at least the conservative direction, but the ledger asserts something it cannot support. Closing it needs a vocabulary member and therefore a migration, so it is a filed item rather than an M2-704 change. Raised by M2-704 during implementation.",M1-603; M2-704,Medium,Claude Code,"A post whose outcome no refetch established is recorded as neither submitted nor failed; the record stays somewhere a later refetch can still resolve it, and a test drives the post-raised/refetch-unreadable pair through both layers.",M,Done,M2-704; D23
M3-707,Submission,Submit first MiniBench forecast,Process one current eligible question with human approval.,M2-706,Critical,Chris + Codex,One live forecast succeeds once; complete pre-resolution record and verified receipt exist.,M,Blocked,Milestone 2 owner approval
M4-801,Resolution and Scoring,Ingest resolution snapshots,Fetch outcomes/annulments and append resolution events.,M3-707,High,Claude Code,Resolved fixture updates only via append event; annulled/ambiguous outcomes are not scored.,M,Not Started,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py
M4-802,Resolution and Scoring,Compute binary and multiclass scores,Calculate Brier and log scores with versioned implementations.,M4-801,High,Claude Code,Known examples match hand calculations; extreme probabilities are handled safely.,M,Not Started,https://www.metaculus.com/help/scores-faq/
M4-803,Resolution and Scoring,Ingest numeric platform scores,Record platform numeric/log/peer scores instead of claiming an unverified local replica.,M4-801,Medium,Claude Code,Numeric record identifies score source and does not label a proxy as Metaculus score.,M,Not Started,D30
M5-804,Resolution and Scoring,Generate attribution report dataset,"Group outcomes by domain, type, model, prompt and reasoning tags.",M4-802; M4-803; M1-604,Medium,Claude Code,"Export contains counts, calibration bins and score summaries with small-sample warnings.",L,Not Started,Primary objective
T-901,Testing,Create golden schema fixtures,"Add valid/invalid binary, multiple-choice and numeric records.",M1-201; M1-501,Critical,Codex,"Fixtures cover all required fields, bounds and malformed outputs.",M,Done,CODEX_HANDOFF Test requirements
T-902,Testing,Mock Metaculus integration,"Test fetch, post, timeout, 429/5xx and refetch verification paths.",M0-102; M2-704,Critical,Codex,No live network calls in CI; uncertain-outcome path blocks duplicate submit.,L,Not Started,CODEX_HANDOFF Test requirements
T-903,Testing,Add dry-run acceptance test,Exercise one saved question through research/model replay to complete ledger record.,M1-306; M1-406; M1-602,Critical,Claude Code,"One command produces one validated record, zero provider calls and zero submission calls.",M,Done,Milestone 1
T-904,Testing,Add numeric CDF contract tests,"Guard 201-point size, monotonicity, bounds and PMF steps against package upgrades.",M1-503,Critical,Codex,Golden edge cases pass on 0.2.92; dependency drift triggers a visible failure.,M,Not Started,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/data_models/numeric_report.py
D-1001,Documentation,Write operator runbook,"Document dry run, review, approval, submission, uncertain timeout and recovery.",M2-704,High,Claude Code,Another operator can recover from each failure state without editing the database.,M,Not Started,D23; R-004
D-1002,Documentation,Document schemas and exports,"Explain ledger lifecycle, immutable versions and polygraph export contract.",M1-604,Medium,Claude Code,Every table/field and export version has an auditable definition.,M,Not Started,D16; D25; D29
A-1101,Tournament Administration,Create bot account and token,Create the Metaculus bot identity and store METACULUS_TOKEN securely.,None,Critical,Chris,Bot profile exists; token works in verify-env and is absent from repository/history.,S,Blocked,https://www.metaculus.com/futureeval/participate/
